Designator,Mid X,Mid Y,Rotation,Layer
C10,13.975,14.41,180.0,top
C11,20.475,23.99,180.0,top
C12,10.96,17.45,0.0,top
C13,20.475,25.51,180.0,top
C14,10.96,15.93,0.0,top
C15,23.495,25.51,0.0,top
C16,7.935,15.93,180.0,top
C17,23.5,27.03,0.0,top
C18,7.935,14.41,180.0,top
C19,21.326665,10.376651,90.0,top
C20,22.484165,6.849151,0.0,top
C21,22.484165,6.849151,180.0,bottom
C22,37.814165,14.579151,90.0,bottom
C23,36.294165,14.579151,90.0,bottom
C24,30.204165,14.579151,90.0,bottom
C25,28.684165,14.574151,90.0,bottom
C27,10.5,25.33,0.0,top
C28,7.48,25.33,180.0,top
C29,10.94,62.31,90.0,top
C30,20.79,52.55,180.0,top
C31,23.06,62.29,90.0,top
C32,8.66,52.57,180.0,top
C33,30.69,44.57,90.0,top
C34,32.955,45.31,180.0,top
C35,25.07,34.54,270.0,top
C36,31.55,41.76,0.0,bottom
C37,33.8,40.645,90.0,bottom
C38,19.14,31.44,0.0,top
C39,31.07,29.65,90.0,bottom
C40,35.71,30.17,90.0,bottom
C41,33.44,30.06,180.0,bottom
C42,27.98,28.61,90.0,bottom
C43,27.67,35.97,270.0,bottom
C44,41.35,34.95,0.0,top
C45,38.73,36.97,270.0,bottom
C46,39.55,27.29,270.0,top
C47,27.305,31.92,180.0,bottom
C48,30.32,31.92,180.0,bottom
C49,36.58,34.31,270.0,bottom
C5,13.815,23.61,0.0,top
C50,24.2,48.2,180.0,top
C51,12.435,46.61,180.0,bottom
C52,17.7,40.07,180.0,bottom
C53,17.7,38.55,180.0,bottom
C54,31.4,51.73,180.0,top
C55,6.625,28.135,270.0,top
C56,6.625,31.155,90.0,top
C57,15.42,35.625,90.0,bottom
C58,9.42,46.61,0.0,bottom
C6,17.62,16.31,180.0,top
C60,9.73,34.975,90.0,bottom
C62,12.93,35.62,90.0,bottom
C63,25.63,46.31,0.0,top
C64,41.35,34.95,0.0,bottom
C65,20.37,35.2,270.0,bottom
C7,17.62,17.83,180.0,top
C8,13.815,25.13,0.0,top
C9,17.465,27.03,180.0,top
CN1,37.234165,3.409151,0.0,top
CN2,29.234165,3.409151,0.0,top
D1,42.45,18.41125,90.0,top
D2,45.51,18.40875,90.0,top
D3,1.48,58.19,0.0,bottom
D4,1.4875,8.24,0.0,top
D5,24.28,56.23,90.0,top
D6,12.16,56.25,90.0,top
D7,20.95,15.6,90.0,top
D8,22.47,15.6,90.0,top
D9,23.99,15.6,90.0,top
FB1,20.48,27.03,0.0,top
FB2,10.955,14.4,180.0,top
J2,3.2,53.3,90.0,bottom
J3,3.2,44.18,90.0,bottom
J4,6.68,67.06,180.0,top
J5,23.64,67.07,180.0,top
J6,3.18,13.14,270.0,top
J7,15.16,67.07,180.0,top
J8,14.395,4.2,0.0,top
L2,18.25,20.37,90.0,top
L3,13.19,21.06,270.0,top
L4,33.231665,13.531651,0.0,top
R10,29.556665,21.224151,90.0,top
R11,22.484165,4.509151,0.0,top
R12,37.804165,5.339151,270.0,bottom
R13,36.284165,5.339151,270.0,bottom
R14,30.194165,5.339151,270.0,bottom
R15,28.674165,5.339151,270.0,bottom
R16,22.484165,4.509151,180.0,bottom
R17,42.45,21.43125,270.0,top
R18,45.51,21.42875,270.0,top
R19,43.98,18.40875,90.0,top
R22,4.5,58.19,0.0,bottom
R23,4.5175,8.24,0.0,top
R24,24.28,59.26,90.0,top
R25,12.16,59.28,90.0,top
R26,8.66,61.56,0.0,top
R27,20.78,61.53,0.0,top
R28,37.79,46.06,270.0,top
R29,36.27,43.79,0.0,top
R30,33.85,26.72,270.0,bottom
R31,33.85,26.72,270.0,top
R32,32.33,26.72,270.0,top
R33,20.95,21.64,270.0,top
R34,22.47,21.64,270.0,top
R35,23.99,21.64,270.0,top
R36,20.95,18.62,90.0,top
R37,22.47,18.62,90.0,top
R38,23.99,18.62,90.0,top
R39,42.45,24.45,90.0,top
R4,17.465,28.55,180.0,top
R40,45.51,24.46,90.0,top
R41,36.27,48.33,180.0,top
R42,33.73,47.58,270.0,top
R43,36.27,46.06,270.0,top
R44,5.1,37.95,0.0,top
R45,17.7,37.03,180.0,bottom
R46,5.1,39.47,180.0,top
R47,25.63,44.78,0.0,top
R48,25.63,43.26,180.0,top
R49,31.4,50.21,180.0,top
R5,16.715,24.76,270.0,top
R50,8.98,26.86,0.0,top
R6,13.975,12.89,0.0,top
R7,14.725,16.68,90.0,top
R8,23.656665,10.386651,270.0,top
R9,37.051665,21.226651,90.0,top
SW1,30.62,58.48,270.0,top
U2,15.72,20.71475,180.0,top
U3,37.041665,24.816651,270.0,top
U4,29.561665,24.814151,270.0,top
U5,15.36,40.95,90.0,top
U6,8.67,57.06,90.0,top
U7,20.79,57.04,90.0,top
U8,33.005,35.65,0.0,top
U9,35.64,52.82,270.0,top
X1,42.04,29.17,90.0,top
Y1,8.99,22.84,0.0,top
Y2,4.135,29.64,270.0,top
